measurement_type,experiment_id,target_id,measurement,error_scale
flux,dataset_1,AHC,1.06142,0.106142
flux,dataset_1,CBS,0.601613,0.0601613
flux,dataset_1,GNMT,0.0219657,0.00219657
flux,dataset_1,MS,0.066986,0.0066986
flux,dataset_10,AHC,1.3422,0.13422
flux,dataset_10,CBS,0.724366,0.0724366
flux,dataset_10,GNMT,0.156454,0.0156454
flux,dataset_10,MS,0.050593,0.0050593
flux,dataset_11,AHC,1.09245,0.109245
flux,dataset_11,CBS,0.692093,0.0692093
flux,dataset_11,GNMT,0.326583,0.0326583
flux,dataset_11,MS,0.070659,0.0070659
flux,dataset_12,AHC,1.27058,0.127058
flux,dataset_12,CBS,0.566785,0.0566785
flux,dataset_12,GNMT,0.116608,0.0116608
flux,dataset_12,MS,0.079222,0.0079222
flux,dataset_2,AHC,1.73555,0.173555
flux,dataset_2,CBS,1.08952,0.108952
flux,dataset_2,GNMT,0.629838,0.0629838
flux,dataset_2,MS,0.038883,0.0038883
flux,dataset_3,AHC,0.858851,0.0858851
flux,dataset_3,CBS,0.703133,0.0703133
flux,dataset_3,GNMT,0.0010348,0.00010348
flux,dataset_3,MS,0.106607,0.0106607
flux,dataset_4,AHC,1.16299,0.116299
flux,dataset_4,CBS,0.599215,0.0599215
flux,dataset_4,GNMT,0.100506,0.0100506
flux,dataset_4,MS,0.006076,0.0006076
flux,dataset_5,AHC,1.05902,0.105902
flux,dataset_5,CBS,0.596562,0.0596562
flux,dataset_5,GNMT,0.0231035,0.00231035
flux,dataset_5,MS,0.084032,0.0084032
flux,dataset_6,AHC,1.26795,0.126795
flux,dataset_6,CBS,0.695802,0.0695802
flux,dataset_6,GNMT,0.129312,0.0129312
flux,dataset_6,MS,0.109977,0.0109977
flux,dataset_7,AHC,1.02075,0.102075
flux,dataset_7,CBS,0.556009,0.0556009
flux,dataset_7,GNMT,0.0172659,0.00172659
flux,dataset_7,MS,0.071745,0.0071745
flux,dataset_8,AHC,1.04801,0.104801
flux,dataset_8,CBS,0.617122,0.0617122
flux,dataset_8,GNMT,0.0232127,0.00232127
flux,dataset_8,MS,0.089813,0.0089813
flux,dataset_9,AHC,1.17086,0.117086
flux,dataset_9,CBS,0.653413,0.0653413
flux,dataset_9,GNMT,0.10431,0.010431
flux,dataset_9,MS,0.073863,0.0073863
mic,dataset_1,5mthf_c,0.006062,0.1
mic,dataset_1,ahcys_c,0.027833,0.1
mic,dataset_1,amet_c,0.122865,0.1
mic,dataset_1,hcys-L_c,0.003145,0.1
mic,dataset_1,met-L_c,0.035212,0.1
mic,dataset_10,5mthf_c,0.003379,0.1
mic,dataset_10,ahcys_c,0.011676,0.1
mic,dataset_10,amet_c,0.353433,0.1
mic,dataset_10,hcys-L_c,0.004966,0.1
mic,dataset_10,met-L_c,0.024872,0.1
mic,dataset_11,5mthf_c,0.004273,0.1
mic,dataset_11,ahcys_c,0.002942,0.1
mic,dataset_11,amet_c,0.153609,0.1
mic,dataset_11,hcys-L_c,0.004796,0.1
mic,dataset_11,met-L_c,0.038207,0.1
mic,dataset_12,5mthf_c,0.004703,0.1
mic,dataset_12,ahcys_c,0.00717,0.1
mic,dataset_12,amet_c,0.173225,0.1
mic,dataset_12,hcys-L_c,0.005005,0.1
mic,dataset_12,met-L_c,0.040029,0.1
mic,dataset_2,5mthf_c,0.003868,0.1
mic,dataset_2,ahcys_c,0.002888,0.1
mic,dataset_2,amet_c,0.319452,0.1
mic,dataset_2,hcys-L_c,0.007009,0.1
mic,dataset_2,met-L_c,0.05745,0.1
mic,dataset_3,5mthf_c,0.005464,0.1
mic,dataset_3,ahcys_c,0.094116,0.1
mic,dataset_3,amet_c,0.023948,0.1
mic,dataset_3,hcys-L_c,0.00465,0.1
mic,dataset_3,met-L_c,0.030185,0.1
mic,dataset_4,5mthf_c,0.002261,0.1
mic,dataset_4,ahcys_c,0.007374,0.1
mic,dataset_4,amet_c,0.135907,0.1
mic,dataset_4,hcys-L_c,0.004081,0.1
mic,dataset_4,met-L_c,0.037064,0.1
mic,dataset_5,5mthf_c,0.003639,0.1
mic,dataset_5,ahcys_c,0.018646,0.1
mic,dataset_5,amet_c,0.088799,0.1
mic,dataset_5,hcys-L_c,0.003952,0.1
mic,dataset_5,met-L_c,0.033793,0.1
mic,dataset_6,5mthf_c,0.006346,0.1
mic,dataset_6,ahcys_c,0.013527,0.1
mic,dataset_6,amet_c,0.324111,0.1
mic,dataset_6,hcys-L_c,0.004712,0.1
mic,dataset_6,met-L_c,0.04063,0.1
mic,dataset_7,5mthf_c,0.005465,0.1
mic,dataset_7,ahcys_c,0.014094,0.1
mic,dataset_7,amet_c,0.048466,0.1
mic,dataset_7,hcys-L_c,0.003443,0.1
mic,dataset_7,met-L_c,0.032339,0.1
mic,dataset_8,5mthf_c,0.006388,0.1
mic,dataset_8,ahcys_c,0.026092,0.1
mic,dataset_8,amet_c,0.108564,0.1
mic,dataset_8,hcys-L_c,0.004387,0.1
mic,dataset_8,met-L_c,0.041889,0.1
mic,dataset_9,5mthf_c,0.004724,0.1
mic,dataset_9,ahcys_c,0.016022,0.1
mic,dataset_9,amet_c,0.168062,0.1
mic,dataset_9,hcys-L_c,0.004788,0.1
mic,dataset_9,met-L_c,0.037212,0.1